empty cell,,empty cell_rotated,,2-bromothiophene,,2-bromothiophene_2,,2-bromothiophene_3,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
779.9453125,0.06034833193,779.9453125,0.0604092814,779.9453125,0.06143543869,779.9453125,0.06186332181,779.9453125,0.06395349652,
779.5255737,0.05994101614,779.5255737,0.06017334759,779.5255737,0.06164395809,779.5255737,0.06192448363,779.5255737,0.06370213628,
778.9658203,0.05974837393,778.9658203,0.05989088491,778.9658203,0.06040104106,778.9658203,0.06183329225,778.9658203,0.06371166557,
778.5458984,0.05983921885,778.5458984,0.05992294848,778.5458984,0.06127587333,778.5458984,0.06134774908,778.5458984,0.06344071031,
777.9859009,0.06017117575,777.9859009,0.06012149528,777.9859009,0.06160159409,777.9859009,0.06188905239,777.9859009,0.06388517469,
777.5658569,0.05922584236,777.5658569,0.05975377932,777.5658569,0.06132395938,777.5658569,0.06141745672,777.5658569,0.06338679045,
777.0056763,0.05959414691,777.0056763,0.05997477472,777.0056763,0.06132264435,777.0056763,0.06150152534,777.0056763,0.06406930834,
776.4453735,0.05969689786,776.4453735,0.06026466563,776.4453735,0.06138170883,776.4453735,0.06223455817,776.4453735,0.06390386075,
776.0250854,0.0598506555,776.0250854,0.06063079089,776.0250854,0.06063522398,776.0250854,0.06178258732,776.0250854,0.06373477727,
775.4645996,0.05967474356,775.4645996,0.06025375053,775.4645996,0.06144709885,775.4645996,0.06140397862,775.4645996,0.06328705698,
775.0441284,0.05974210426,775.0441284,0.06017685309,775.0441284,0.06150990352,775.0441284,0.06201256067,775.0441284,0.06388139725,
774.4833984,0.06002559885,774.4833984,0.06076999009,774.4833984,0.06148631498,774.4833984,0.06204797328,774.4833984,0.06386658549,
774.0627441,0.05963922665,774.0627441,0.06054689363,774.0627441,0.06125882268,774.0627441,0.06179282442,774.0627441,0.06404264271,
773.5018311,0.0605641529,773.5018311,0.06071050838,773.5018311,0.06155067682,773.5018311,0.06173687056,773.5018311,0.0638711378,
772.9407959,0.06008299813,772.9407959,0.06053412706,772.9407959,0.06148887798,772.9407959,0.06174940243,772.9407959,0.06437525153,
772.5199585,0.05959875137,772.5199585,0.06050163135,772.5199585,0.06187913939,772.5199585,0.06209647283,772.5199585,0.06400751323,
771.9586792,0.06041924655,771.9586792,0.0606581457,771.9586792,0.061703749,771.9586792,0.06222795695,771.9586792,0.06402046978,
771.5376587,0.05892926082,771.5376587,0.06044019386,771.5376587,0.06135863066,771.5376587,0.06205349788,771.5376587,0.06311740726,
770.9761963,0.05954394117,770.9761963,0.06021589786,770.9761963,0.06154879555,770.9761963,0.06170052662,770.9761963,0.06376332045,
770.5549927,0.0597749874,770.5549927,0.06050166115,770.5549927,0.06125298142,770.5549927,0.06211325526,770.5549927,0.06431370974,
769.9933472,0.05981761962,769.9933472,0.06012782827,769.9933472,0.06098125875,769.9933472,0.06212155893,769.9933472,0.064030312,
769.4315796,0.0596954152,769.4315796,0.0601542294,769.4315796,0.06105197966,769.4315796,0.06209638342,769.4315796,0.06381087005,
769.0101318,0.06036427245,769.0101318,0.06067439914,769.0101318,0.06174337491,769.0101318,0.06237170473,769.0101318,0.06434787065,
768.4481201,0.05984310806,768.4481201,0.06065751985,768.4481201,0.06182666868,768.4481201,0.06237125769,768.4481201,0.06458701193,
768.0265503,0.05987959355,768.0265503,0.06034705043,768.0265503,0.0616616793,768.0265503,0.06207443401,768.0265503,0.06421010196,
767.4643555,0.05898583308,767.4643555,0.06031784415,767.4643555,0.06124022603,767.4643555,0.06176193431,767.4643555,0.06373400241,
767.0426025,0.05835320055,767.0426025,0.05922014266,767.0426025,0.06064796448,767.0426025,0.06135123596,767.0426025,0.06322842091,
766.4802246,0.05940103531,766.4802246,0.05999929458,766.4802246,0.06144689023,766.4802246,0.0619998984,766.4802246,0.06375585496,
766.0583496,0.0592667833,766.0583496,0.06055567041,766.0583496,0.06147134304,766.0583496,0.06221421435,766.0583496,0.0641047731,
765.4957275,0.05852466822,765.4957275,0.05980936065,765.4957275,0.06104617193,765.4957275,0.06178267673,765.4957275,0.06343753636,
764.9329834,0.05984857678,764.9329834,0.06060016528,764.9329834,0.06170864031,764.9329834,0.0618644245,764.9329834,0.06370138377,
764.5108643,0.05979251489,764.5108643,0.0608520247,764.5108643,0.06160949916,764.5108643,0.0620084703,764.5108643,0.06434963644,
763.947876,0.05951344967,763.947876,0.06059227884,763.947876,0.0616511479,763.947876,0.06200709566,763.947876,0.06361278892,
763.5256348,0.05995569751,763.5256348,0.06040702015,763.5256348,0.06169040874,763.5256348,0.06195666641,763.5256348,0.06398192793,
762.9624634,0.05876628682,762.9624634,0.06047110632,762.9624634,0.06092067063,762.9624634,0.06227023154,762.9624634,0.06408485025,
762.5400391,0.0591026172,762.5400391,0.06042930484,762.5400391,0.06143353134,762.5400391,0.06142884865,762.5400391,0.06381156296,
761.9766846,0.05923895538,761.9766846,0.0601625517,761.9766846,0.06190352887,761.9766846,0.06228791922,761.9766846,0.06375166029,
761.5540771,0.05907708034,761.5540771,0.06016912311,761.5540771,0.06144244596,761.5540771,0.06163989753,761.5540771,0.06361674517,
760.9905396,0.05898343027,760.9905396,0.06028164551,760.9905396,0.0616510585,760.9905396,0.06181243062,760.9905396,0.06413669884,
760.567749,0.0590384379,760.567749,0.06037923694,760.567749,0.06161734462,760.567749,0.06213798746,760.567749,0.06454262137,
760.0039673,0.05880754441,760.0039673,0.05999926478,760.0039673,0.06106246635,760.0039673,0.06164335832,760.0039673,0.06341644377,
759.4401245,0.05890569091,759.4401245,0.06023231149,759.4401245,0.06131385267,759.4401245,0.06203092262,759.4401245,0.06371945888,
759.0171509,0.05923233926,759.0171509,0.06014209986,759.0171509,0.0615398474,759.0171509,0.06224815175,759.0171509,0.0641329512,
758.453064,0.05916190892,758.453064,0.06055766717,758.453064,0.06170398742,758.453064,0.06177804992,758.453064,0.06438533217,
758.0299072,0.05839494988,758.0299072,0.05984483287,758.0299072,0.06068561971,758.0299072,0.06155950576,758.0299072,0.06329463422,
757.4655762,0.0593707636,757.4655762,0.06061787158,757.4655762,0.0615157187,757.4655762,0.06255328655,757.4655762,0.06411560625,
757.0422974,0.05954409018,757.0422974,0.0608696267,757.0422974,0.06157370284,757.0422974,0.06202919036,757.0422974,0.06439590454,
756.4777832,0.05889356509,756.4777832,0.05998113751,756.4777832,0.0616135262,756.4777832,0.06201061979,756.4777832,0.06399686635,
756.0543823,0.05897174776,756.0543823,0.06030678004,756.0543823,0.06143490225,756.0543823,0.06179485098,756.0543823,0.06451934576,
755.4896851,0.05866144598,755.4896851,0.06009833515,755.4896851,0.06145657972,755.4896851,0.06191594526,755.4896851,0.06391885132,
755.06604,0.05926298723,755.06604,0.06022199243,755.06604,0.0615753755,755.06604,0.06221956387,755.06604,0.06438849121,
754.5011597,0.05934651941,754.5011597,0.06071024016,754.5011597,0.06205233559,754.5011597,0.06269735098,754.5011597,0.06396180391,
753.9361572,0.05885573849,753.9361572,0.06023662165,753.9361572,0.06144190952,753.9361572,0.06223231927,753.9361572,0.06379030645,
753.5122681,0.0591889061,753.5122681,0.06060641259,753.5122681,0.06161728501,753.5122681,0.06216268614,753.5122681,0.06414362788,
752.9470825,0.05935550854,752.9470825,0.06046664342,752.9470825,0.06203447655,752.9470825,0.06258195639,752.9470825,0.06406526268,
752.5230713,0.05852081627,752.5230713,0.06002271548,752.5230713,0.06115996465,752.5230713,0.06191484258,752.5230713,0.06345940381,
751.9576416,0.05862008408,751.9576416,0.06046470627,751.9576416,0.06124719977,751.9576416,0.06216728687,751.9576416,0.0641951263,
751.5335083,0.05938984826,751.5335083,0.06067156792,751.5335083,0.06150698289,751.5335083,0.06220552325,751.5335083,0.0642959103,
750.9678345,0.0587480329,750.9678345,0.06055296212,750.9678345,0.06135898829,750.9678345,0.0620960854,750.9678345,0.06390790641,
750.5435791,0.05861412734,750.5435791,0.06063165516,750.5435791,0.06099856645,750.5435791,0.06199945137,750.5435791,0.06397085637,
749.9777222,0.05844822153,749.9777222,0.05998883396,749.9777222,0.06150047854,749.9777222,0.06197673082,749.9777222,0.06350832433,
749.5532837,0.05892854929,749.5532837,0.06047128513,749.5532837,0.06182126328,749.5532837,0.0627399385,749.5532837,0.06432499737,
748.9872437,0.05870731547,748.9872437,0.0604136847,748.9872437,0.06125444174,748.9872437,0.06238368899,748.9872437,0.06368478388,
748.5626221,0.05929256976,748.5626221,0.06039827317,748.5626221,0.0617605038,748.5626221,0.06235428154,748.5626221,0.06402020156,
747.9963989,0.05900101364,747.9963989,0.06019124761,747.9963989,0.06092254817,747.9963989,0.06191929057,747.9963989,0.06403511018,
747.4300537,0.05881213769,747.4300537,0.06005223095,747.4300537,0.06134065241,747.4300537,0.06208330393,747.4300537,0.06407300383,
747.005188,0.0583839044,747.005188,0.06070610136,747.005188,0.06171863526,747.005188,0.06236264855,747.005188,0.0639930889,
746.4386597,0.05835269392,746.4386597,0.06024194509,746.4386597,0.06114783511,746.4386597,0.06195192039,746.4386597,0.06383261085,
746.0136719,0.05864749104,746.0136719,0.06038994715,746.0136719,0.06132106483,746.0136719,0.06214772537,746.0136719,0.06419212371,
745.4468994,0.05822868273,745.4468994,0.06040056422,745.4468994,0.06114950404,745.4468994,0.06231705099,745.4468994,0.06381125748,
745.0217896,0.05926245451,745.0217896,0.06015729159,745.0217896,0.06181060895,745.0217896,0.06219067797,745.0217896,0.06407315284,
744.454834,0.05909629911,744.454834,0.06042216346,744.454834,0.06199697405,744.454834,0.062392205,744.454834,0.06466370821,
744.029541,0.05887868255,744.029541,0.06034538522,744.029541,0.06150447577,744.029541,0.06261900067,744.029541,0.06404057145,
